data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2019-02-14,5199.99,4180.115,2735.05,3464.1,3269.0,3549.0,2699.1,3068.07,3.7401
2019-02-15,5199.99,4180.115,2709.495,3509.1,3399.0,3549.0,2888.96,3068.07,3.7037
2019-02-18,5286.49,4047.12,2879.1,3698.99,2999.0,3549.0,2998.99,3206.785,3.7324
2019-02-19,5199.99,4221.13,2824.05,3431.12,2999.0,3549.0,2897.78,2998.02,3.7156
2019-02-20,5184.365,4180.115,2879.1,3431.12,2999.0,3549.0,2749.2,2969.1,3.728
2019-02-21,5099.99,4139.1,2799.0,3431.12,2999.0,3549.0,2749.2,2998.02,3.7618
2019-02-22,5126.72,3719.07,2799.0,3431.12,2819.0,3549.0,2749.2,2975.07,3.7412
2019-02-25,5167.32,3719.07,2879.1,3431.12,2819.0,3499.0,2849.05,2998.02,3.7434
2019-02-26,5234.365,3719.07,2799.0,3329.09,2819.0,3549.0,2899.0,3068.07,3.7448
2019-02-27,5141.89,3719.07,2879.1,3328.2,2819.0,3549.0,2899.0,3183.535,3.7304
2019-02-28,5099.99,3899.495,2519.1,3328.65,2819.0,3549.0,3149.05,3239.1,3.7531
2019-03-01,5049.99,3799.99,2519.1,3329.1,2999.0,3549.0,3399.0,3068.07,3.7803
2019-03-06,5099.99,3799.99,2741.085,3328.2,2944.495,3549.0,2899.0,3068.07,3.8358
2019-03-07,4999.495,3719.07,2603.07,3599.1,2999.0,3549.0,2949.0,3254.07,3.8847
2019-03-08,4589.09,3854.0,2815.12,3599.99,2909.0,3549.0,2742.57,3034.05,3.8702
2019-03-11,4659.99,4023.06,2769.0,3464.09,2819.0,3549.0,2609.99,3079.12,3.8418
2019-03-12,4679.1,3619.095,2339.1,3464.08,2909.0,3549.0,2595.12,2924.1,3.8165
2019-03-13,4999.455,3799.99,2599.9,3374.09,3299.9,3499.0,2781.9,3079.12,3.8133
2019-03-14,5009.99,3799.99,2429.1,3486.57,3249.9,3599.0,2744.55,3099.0,3.848
2019-03-15,5009.99,3799.99,2514.5,3482.76,3224.45,3599.0,2744.55,3030.5,3.8206
2019-03-18,5009.99,3713.03,2599.9,3482.76,3249.9,3599.0,2600.1,2960.1,3.7916
2019-03-19,5009.99,3612.66,2474.1,3339.585,2999.0,3599.0,2654.1,2999.3,3.7892
2019-03-20,5004.95,3626.07,2474.1,3440.07,3249.9,3599.0,2600.1,2999.0,3.7661
2019-03-21,5009.99,3569.57,2599.9,3440.07,3299.0,3599.0,2600.1,2999.3,3.8001
2019-03-22,5009.99,3561.55,2574.45,3440.07,3299.9,3599.0,2600.1,2999.3,3.9022
2019-03-25,4999.0,3529.49,2699.99,3440.07,3344.115,3479.0,2600.1,2960.1,3.8572
2019-03-26,4924.5,3749.0,2599.9,3440.07,3344.115,3479.0,2600.1,2960.1,3.8666
2019-03-27,4899.0,3646.45,2699.0,3486.57,3249.9,3479.0,2600.1,2960.1,3.9545
2019-03-28,4999.495,3561.55,2599.9,3477.27,3299.9,3479.0,2600.1,3099.0,3.9174
2019-03-29,4999.0,3732.125,2688.0,3477.27,3299.9,3479.0,2600.1,2960.1,3.9154
2019-04-01,4999.0,3854.1,2643.95,3440.07,3299.9,3479.0,2600.1,2999.0,3.8763
2019-04-02,4999.0,3869.1,2669.55,3329.1,3299.0,3599.0,2600.1,2999.0,3.8569
2019-04-03,4999.0,4277.7,2582.0,3329.095,3364.565,3479.0,2799.99,2969.1,3.8787
2019-04-04,5004.95,4323.17,2582.0,3384.58,3467.15,3599.0,2600.1,2960.1,3.8575
2019-04-05,5009.99,4139.1,2879.1,3783.12,3249.9,3599.0,2696.07,2960.1,3.873
2019-04-08,4924.5,4047.12,2815.12,3399.99,3249.9,3599.0,2600.1,3049.445,3.8491
2019-04-09,4999.0,4099.99,2815.12,3399.99,3249.9,3479.0,2729.0,2960.1,3.8542
2019-04-10,5029.495,4119.545,2599.9,3239.1,3257.84,3599.0,2609.1,2960.1,3.824
2019-04-11,5009.99,4139.1,2537.0,3239.1,3249.9,3599.0,2609.1,2960.1,3.857
